pair,language,direction,edited_path,baseline_path,edited_shape,baseline_shape,used_shape,cosine,pearson,mse
1pl-2pl,catalan,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_1plto2pl_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_1plto2pl_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.987938439902068,0.987714072431651,6.26404062131769e-06
1pl-2pl,catalan,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_2plto1pl_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_2plto1pl_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9693800633358488,0.9681120735873292,1.9890627299901098e-05
1pl-2pl,english,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_1plto2pl_english.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_1plto2pl_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9892745202514007,0.98950653004698,1.1630251719907392e-05
1pl-2pl,english,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_2plto1pl_english.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_2plto1pl_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9923172964461616,0.9926432704679904,9.277358003600966e-06
1pl-2pl,french,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_1plto2pl_french.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_1plto2pl_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9877447714489623,0.9871135866009729,1.0388259397586808e-05
1pl-2pl,french,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_2plto1pl_french.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_2plto1pl_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9964434245173718,0.9962942237440991,1.2018572306260467e-05
1pl-2pl,italian,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_1plto2pl_italian.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_1plto2pl_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9683208094316964,0.9678664160837726,0.006510784849524498
1pl-2pl,italian,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_2plto1pl_italian.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_2plto1pl_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9311154237494549,0.9312322294922238,0.00010099497012561187
1pl-2pl,portuguese,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_1plto2pl_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_1plto2pl_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9921880917599957,0.992365876418374,0.0006267200806178153
1pl-2pl,portuguese,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_2plto1pl_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_2plto1pl_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9901746486625408,0.9901434695770259,2.2427573640015908e-05
1pl-2pl,spanish,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_1plto2pl_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_1plto2pl_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9924741295178259,0.9928961503541287,0.0038157349918037653
